round,grand_prix,race_date,pole_sitter,youtube_title,youtube_url,calendar_source_url,session_key
1,Australian Grand Prix,2025-03-16,Lando Norris,Lando Norris' Pole Lap | 2025 Australian Grand Prix | Pirelli,https://www.youtube.com/watch?v=DwEPWRAFcn0,https://www.formula1.com/en/racing/2025,9689
2,Chinese Grand Prix,2025-03-23,Oscar Piastri,Oscar Piastri's Pole Lap | 2025 Chinese Grand Prix | Pirelli,https://www.youtube.com/watch?v=MPFukXWjzDw,https://www.formula1.com/en/racing/2025,9994
3,Japanese Grand Prix,2025-04-06,Max Verstappen,Max Verstappen's Pole Lap | 2025 Japanese Grand Prix | Pirelli,https://www.youtube.com/watch?v=puWsv5-4ELg,https://www.formula1.com/en/racing/2025,10002
4,Bahrain Grand Prix,2025-04-13,Oscar Piastri,Oscar Piastri's Pole Lap | 2025 Bahrain Grand Prix | Pirelli,https://www.youtube.com/watch?v=9eqwVgd65Fc,https://www.formula1.com/en/racing/2025,10010
5,Saudi Arabian Grand Prix,2025-04-20,Max Verstappen,Max Verstappen's Pole Lap | 2025 Saudi Arabian Grand Prix | Pirelli,https://www.youtube.com/watch?v=yArPBLg2ZKI,https://www.formula1.com/en/racing/2025,10018
6,Miami Grand Prix,2025-05-04,Max Verstappen,Max Verstappen's Pole Lap | 2025 Miami Grand Prix | Pirelli,https://www.youtube.com/watch?v=UrjQlZEgW1M,https://www.formula1.com/en/racing/2025,10029
7,Emilia-Romagna Grand Prix,2025-05-18,Oscar Piastri,Oscar Piastri's Pole Lap | 2025 Emilia-Romagna Grand Prix | Pirelli,https://www.youtube.com/watch?v=ccWPAckvLPk,https://www.formula1.com/en/racing/2025,9983
8,Monaco Grand Prix,2025-05-25,Lando Norris,MONACO LAP RECORD! Lando Norris' Pole Lap | 2025 Monaco Grand Prix | Pirelli,https://www.youtube.com/watch?v=_5Lr6fDIZG8,https://www.formula1.com/en/racing/2025,9975
9,Spanish Grand Prix,2025-06-01,Oscar Piastri,Oscar Piastri's Pole Lap | 2025 Spanish Grand Prix | Pirelli,https://www.youtube.com/watch?v=pZnBbzUuJmQ,https://www.formula1.com/en/racing/2025,9967
10,Canadian Grand Prix,2025-06-15,George Russell,George Russell's Pole Lap | 2025 Canadian Grand Prix | Pirelli,https://www.youtube.com/watch?v=-Ya90uFjYEE,https://www.formula1.com/en/racing/2025,9959
11,Austrian Grand Prix,2025-06-29,Lando Norris,Lando Norris' Pole Lap | 2025 Austrian Grand Prix | Pirelli,https://www.youtube.com/watch?v=nEWdQ4QeF5w,https://www.formula1.com/en/racing/2025,9951
12,British Grand Prix,2025-07-06,Max Verstappen,Max Verstappen's Pole Lap | 2025 British Grand Prix | Pirelli,https://www.youtube.com/watch?v=ooeujTa2-k8,https://www.formula1.com/en/racing/2025,9943
13,Belgian Grand Prix,2025-07-27,Lando Norris,Lando Norris' Pole Lap | 2025 Belgian Grand Prix | Pirelli,https://www.youtube.com/watch?v=dO7UdNWjtsw,https://www.formula1.com/en/racing/2025,9935
14,Hungarian Grand Prix,2025-08-03,Charles Leclerc,Charles Leclerc's Pole Lap | 2025 Hungarian Grand Prix | Pirelli,https://www.youtube.com/watch?v=t0STbmZj1pM,https://www.formula1.com/en/racing/2025,9924
15,Dutch Grand Prix,2025-08-31,Oscar Piastri,Oscar Piastri Sets Track Record With Pole Lap! | 2025 Dutch Grand Prix | Pirelli,https://www.youtube.com/watch?v=QGIEhlHEUKI,https://www.formula1.com/en/racing/2025,9916
16,Italian Grand Prix,2025-09-07,Max Verstappen,The Fastest Lap In F1 History: Max Verstappen's Pole Lap | 2025 Italian Grand Prix | Pirelli,https://www.youtube.com/watch?v=wgZdpFRpZCs,https://www.formula1.com/en/racing/2025,9908
17,Azerbaijan Grand Prix,2025-09-21,Max Verstappen,Max Verstappen's Pole Lap | 2025 Azerbaijan Grand Prix | Pirelli,https://www.youtube.com/watch?v=eRWzYPUJsvc,https://www.formula1.com/en/racing/2025,9900
18,Singapore Grand Prix,2025-10-05,George Russell,George Russell's Pole Lap | 2025 Singapore Grand Prix | Pirelli,https://www.youtube.com/watch?v=UsYE6ctkLEg,https://www.formula1.com/en/racing/2025,9892
19,United States Grand Prix,2025-10-19,Max Verstappen,Max Verstappen's Pole Lap | 2025 United States Grand Prix | Pirelli,https://www.youtube.com/watch?v=lqDFtwA7EKQ,https://www.formula1.com/en/racing/2025,9884
20,Mexico City Grand Prix,2025-10-26,Lando Norris,Lando Norris' Pole lap | 2025 Mexico City Grand Prix | Pirelli,https://www.youtube.com/watch?v=1ML-7FvHcYk,https://www.formula1.com/en/racing/2025,9873
21,Sao Paulo Grand Prix,2025-11-09,Lando Norris,Lando Norris' Pole Lap | 2025 Sao Paulo Grand Prix | Pirelli,https://www.youtube.com/watch?v=4Z3y6mYDJgM,https://www.formula1.com/en/racing/2025,9865
22,Las Vegas Grand Prix,2025-11-22,Lando Norris,Lando Norris' Pole Lap | 2025 Las Vegas Grand Pix | Pirelli,https://www.youtube.com/watch?v=wtXxkGvrokA,https://www.formula1.com/en/racing/2025,9854
23,Qatar Grand Prix,2025-11-30,Oscar Piastri,Oscar Piastri's Pole Lap | 2025 Qatar Grand Prix | Pirelli,https://www.youtube.com/watch?v=j63gdbihAF8,https://www.formula1.com/en/racing/2025,9846
24,Abu Dhabi Grand Prix,2025-12-07,Max Verstappen,Max Verstappen's Pole Lap | 2025 Abu Dhabi Grand Prix | Pirelli,https://www.youtube.com/watch?v=_cc-TFhBZSw,https://www.formula1.com/en/racing/2025,9835
